ID	VALID	TRANSACTIONAL_PROFILE_CODE	TRANSACTIONAL_PROFILE_NAME	GLOBAL_PROFILE_CODE	GLOBAL_PROFILE_NAME	APPLICATION_CODE	APPLICATION_NAME	TRANSACTIONAL_PROFILE_RISK_LEVEL	GLOBAL_PROFILE_STATUS
18493	1	AT_ADMINBIENYSERV_001	ADMINBIENYSERV_001	01_ABS_ABI_005	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ANALISTA BIENES Y ADMINISTRADOR DE SUCURSAL	RHDS	RHDS	MEDIO	ACTIVO
18362	1	AT_BANCS_CAP-03 USER TYPE-17	BANCS_CAP-03 USER TYPE-17	01_ABS_ABI_005	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ANALISTA BIENES Y ADMINISTRADOR DE SUCURSAL	BANCS	BANCS	BAJO	ACTIVO
16001	1	AT_CAPITAL_031	PERFIL: BP_CAPITAL_MOD_RPT_PERFIL_USUARIO QUE EJECUTA REPORTES	01_ABS_ABI_005	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ANALISTA BIENES Y ADMINISTRADOR DE SUCURSAL	CAPITAL	CAPITAL	BAJO	ACTIVO
16003	1	AT_EASYPAGOS_126	EMPRESA: BANCO PICHINCHA	01_ABS_ABI_005	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ANALISTA BIENES Y ADMINISTRADOR DE SUCURSAL	EASYPAGOS	EASYPAGOS	ALTO	ACTIVO
16006	1	AT_EBS_002	BP AP ADMINISTRADOR DE SERVICIOS B�?SICOS	01_ABS_ABI_005	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ANALISTA BIENES Y ADMINISTRADOR DE SUCURSAL	EBS	EBS	ALTO	ACTIVO
16009	1	AT_EBS_012	BP AP USUARIO SOLICITANTE I EXPENSES	01_ABS_ABI_005	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ANALISTA BIENES Y ADMINISTRADOR DE SUCURSAL	EBS	EBS	BAJO	ACTIVO
16012	1	AT_EBS_022	BP FA ESPECIALISTA	01_ABS_ABI_005	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ANALISTA BIENES Y ADMINISTRADOR DE SUCURSAL	EBS	EBS	MEDIO	ACTIVO
16014	1	AT_EBS_036	BP IP SOLICITANTE	01_ABS_ABI_005	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ANALISTA BIENES Y ADMINISTRADOR DE SUCURSAL	EBS	EBS	MEDIO	ACTIVO
16015	1	AT_EBS_037	BP IP SOLICITANTE CENTRALIZADOR	01_ABS_ABI_005	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ANALISTA BIENES Y ADMINISTRADOR DE SUCURSAL	EBS	EBS	MEDIO	ACTIVO
16017	1	AT_EBS_045	BP PO SOLICITANTE CENTRALIZADOR	01_ABS_ABI_005	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ANALISTA BIENES Y ADMINISTRADOR DE SUCURSAL	EBS	EBS	MEDIO	ACTIVO
16018	1	AT_EBS_047	BP PPTO CONSULTAS	01_ABS_ABI_005	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ANALISTA BIENES Y ADMINISTRADOR DE SUCURSAL	EBS	EBS	BAJO	ACTIVO
16020	1	AT_EBS_057	BP INV CONSULTA DE STOCK	01_ABS_ABI_005	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ANALISTA BIENES Y ADMINISTRADOR DE SUCURSAL	EBS	EBS	BAJO	ACTIVO
16021	1	AT_EBS_058	BP PA CONSULTA BASICA	01_ABS_ABI_005	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ANALISTA BIENES Y ADMINISTRADOR DE SUCURSAL	EBS	EBS	BAJO	ACTIVO
16023	1	AT_EBS_140	BP GL INGRESADOR C	01_ABS_ABI_005	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ANALISTA BIENES Y ADMINISTRADOR DE SUCURSAL	EBS	EBS	MEDIO	ACTIVO
16024	1	AT_JERARQUIA_EBS_003	JERARQUIA USUARIO CENTRAL	01_ABS_ABI_005	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ANALISTA BIENES Y ADMINISTRADOR DE SUCURSAL	JERARQUIA_EBS	JERARQUIA_EBS	MEDIO	ACTIVO
19384	1	AT_RED_EXC_1091	ACCESO A RED Y CORREO	01_ABS_ABI_005	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ANALISTA BIENES Y ADMINISTRADOR DE SUCURSAL	AD	ACTIVE DIRECTORY	ALTO	ACTIVO
16026	1	AT_TALLA_008	PERFIL: TALLA_LNC CELULAR_45_MIN_NIVEL_14	01_ABS_ABI_005	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ANALISTA BIENES Y ADMINISTRADOR DE SUCURSAL	TALLA	TALLA	BAJO	ACTIVO
