ID	VALID	TRANSACTIONAL_PROFILE_CODE	TRANSACTIONAL_PROFILE_NAME	APPLICATION_CODE	APPLICATION_NAME	APPLICATION_AUTOMATIC	RISK_LEVEL	COMMENTS	FIELD_NAME	STATUS
17454	1	AT_LOGIFLOW_001	ACCESO A LOGIFLOW 001	LOGIFLOW	LOGIFLOW	1	BAJO		CAMBIO DE PASSWORD AL LOGUEARSE	ACTIVO
17454	1	AT_LOGIFLOW_001	ACCESO A LOGIFLOW 001	LOGIFLOW	LOGIFLOW	1	BAJO		CÓDIGO ATRIBUTO	ACTIVO
17454	1	AT_LOGIFLOW_001	ACCESO A LOGIFLOW 001	LOGIFLOW	LOGIFLOW	1	BAJO		CÓDIGO HORARIO	ACTIVO
17454	1	AT_LOGIFLOW_001	ACCESO A LOGIFLOW 001	LOGIFLOW	LOGIFLOW	1	BAJO		ENVÍA MAIL DE CREACIÓN DE USUARIO	ACTIVO
17454	1	AT_LOGIFLOW_001	ACCESO A LOGIFLOW 001	LOGIFLOW	LOGIFLOW	1	BAJO		VALIDAR ATRIBUTOS PERFIL	ACTIVO
17455	1	AT_LOGIFLOW_002	ACCESO A LOGIFLOW 002	LOGIFLOW	LOGIFLOW	1	BAJO		CAMBIO DE PASSWORD AL LOGUEARSE	ACTIVO
17455	1	AT_LOGIFLOW_002	ACCESO A LOGIFLOW 002	LOGIFLOW	LOGIFLOW	1	BAJO		CÓDIGO ATRIBUTO	ACTIVO
17455	1	AT_LOGIFLOW_002	ACCESO A LOGIFLOW 002	LOGIFLOW	LOGIFLOW	1	BAJO		CÓDIGO HORARIO	ACTIVO
17455	1	AT_LOGIFLOW_002	ACCESO A LOGIFLOW 002	LOGIFLOW	LOGIFLOW	1	BAJO		ENVÍA MAIL DE CREACIÓN DE USUARIO	ACTIVO
17455	1	AT_LOGIFLOW_002	ACCESO A LOGIFLOW 002	LOGIFLOW	LOGIFLOW	1	BAJO		VALIDAR ATRIBUTOS PERFIL	ACTIVO
17456	1	AT_LOGIFLOW_003	ACCESO A LOGIFLOW 003	LOGIFLOW	LOGIFLOW	1	BAJO		CAMBIO DE PASSWORD AL LOGUEARSE	ACTIVO
17456	1	AT_LOGIFLOW_003	ACCESO A LOGIFLOW 003	LOGIFLOW	LOGIFLOW	1	BAJO		CÓDIGO ATRIBUTO	ACTIVO
17456	1	AT_LOGIFLOW_003	ACCESO A LOGIFLOW 003	LOGIFLOW	LOGIFLOW	1	BAJO		CÓDIGO HORARIO	ACTIVO
17456	1	AT_LOGIFLOW_003	ACCESO A LOGIFLOW 003	LOGIFLOW	LOGIFLOW	1	BAJO		ENVÍA MAIL DE CREACIÓN DE USUARIO	ACTIVO
17456	1	AT_LOGIFLOW_003	ACCESO A LOGIFLOW 003	LOGIFLOW	LOGIFLOW	1	BAJO		VALIDAR ATRIBUTOS PERFIL	ACTIVO
17457	1	AT_LOGIFLOW_004	ACCESO A LOGIFLOW 004	LOGIFLOW	LOGIFLOW	1	BAJO		CAMBIO DE PASSWORD AL LOGUEARSE	ACTIVO
17457	1	AT_LOGIFLOW_004	ACCESO A LOGIFLOW 004	LOGIFLOW	LOGIFLOW	1	BAJO		CÓDIGO ATRIBUTO	ACTIVO
17457	1	AT_LOGIFLOW_004	ACCESO A LOGIFLOW 004	LOGIFLOW	LOGIFLOW	1	BAJO		CÓDIGO HORARIO	ACTIVO
17457	1	AT_LOGIFLOW_004	ACCESO A LOGIFLOW 004	LOGIFLOW	LOGIFLOW	1	BAJO		ENVÍA MAIL DE CREACIÓN DE USUARIO	ACTIVO
